date,horse_no,plc,horse,jockey,trainer,actual_wt,declar_horse_wt,draw,lbw,running_position,finish_time,win_odds
2015/10/04,11,10,按一按(L254),鄭雨滇,呂健威,123,1091,14,6-3/4,14 14 10,0.58.49,21
2015/10/04,5,11,皇帝誥令(T274),湯智傑,蘇偉賢,124,1102,11,7-1/2,11 13 11,0.58.64,99
2015/09/23,9,1,勝利雄心(P032),黃皓楠,蘇偉賢,108,993,7,-,3 3 2 1,1.41.07,9.7
2015/10/10,5,4,醒目名駒(S393),郭能,告東尼,127,1143,7,3-1/4,6 6 7 4,1.21.41,12
2015/10/10,13,5,競技英雄(N157),楊明綸,蘇保羅,111,1195,5,3-1/4,11 11 10 5,1.21.44,26
2015/09/23,8,1,升力(N294),蘇狄雄,鄭俊偉,116,1080,9,-,10 10 10 1,1.40.86,16
2015/09/28,8,4,英明神勇(S266),莫雷拉,呂健威,121,1108,10,1-1/4,12 12 12 4,1.22.39,3.8
2015/09/28,3,5,福毅(P446),蔣嘉琦,高伯新,118,1249,3,1-3/4,5 5 4 5,1.22.45,10
2015/11/01,5,8,好好機會(M347),吳嘉晉,告東尼,119,1136,9,7-1/2,4 5 6 8,1.43.37,20
2015/11/01,2,9,龍之欣(N148),梁家俊,呂健威,129,1028,10,7-3/4,12 12 10 9,1.43.39,20
2015/10/10,12,12,北非諜影(P071),梁家俊,蘇保羅,115,1162,7,10-1/2,9 9 12,1.10.89,99
2015/10/04,9,12,金紫荊(K123),黃皓楠,徐雨石,113,1097,4,9-1/4,12 12 12,0.58.92,19
2015/10/04,13,13,幸運波(T130),羅理雅,賀賢,122,1056,12,9-1/2,6 9 13,0.58.93,19
2015/09/23,3,2,金滙龍華(S242),郭能,沈集成,126,1099,11,1/2,5 5 5 2,1.41.17,9.6
2015/09/23,2,3,威利飛越(S255),莫雷拉,徐雨石,131,1018,5,1-1/4,7 6 6 3,1.41.31,6.1
2015/10/10,2,6,貳寶(P345),巫斯義,約翰摩亞,133,1125,13,3-1/2,8 10 11 6,1.21.45,11
2015/10/10,14,7,靚猴王(S280),田泰安,文家良,113,1069,9,4-3/4,3 3 4 7,1.21.65,99
2015/09/23,12,2,永常勝(P415),楊明綸,李易達,111,1002,11,短馬頭位,6 6 6 2,1.40.88,62
2015/09/23,7,3,銀飛龍(M326),黃皓楠,徐雨石,111,1087,8,頸位,1 1 1 3,1.40.92,16
2015/10/10,4,1,超凡夢想(S203),潘頓,賀賢,124,1129,4,-,9 8 1,1.09.34,3.7
2015/09/28,2,6,比卡超(S298),郭能,霍利時,130,1106,13,2-1/4,11 11 11 6,1.22.54,8.3
2015/09/28,12,7,川河寶駒(T375),何澤堯,方嘉柏,117,1028,7,2-1/4,14 14 13 7,1.22.54,49
2015/11/01,1,10,領航大師(T160),史卓豐,沈集成,133,1148,8,11-3/4,9 9 11 10,1.44.03,99
2015/11/01,8,11,活潑飛揚(V061),蘇狄雄,何良,121,1148,6,12-1/4,7 7 8 11,1.44.10,99
2015/10/04,7,14,木子年華(T174),蘇狄雄,呂健威,124,1069,10,11-1/4,3 3 14,0.59.23,61
2015/09/23,5,4,寶正寶(S388),霍勵賢,姚本輝,122,1071,2,1-1/2,4 4 7 4,1.41.33,8.5
2015/09/23,1,5,方程式(P183),潘頓,方嘉柏,132,1039,9,2-3/4,11 11 4 5,1.41.52,2.7
2015/10/10,3,8,勝飛(P210),羅理雅,蘇保羅,129,1162,12,5-1/2,14 14 13 8,1.21.80,99
2015/10/10,9,9,勁感(P149),霍勵賢,高伯新,121,1062,2,7,9 7 6 9,1.22.02,78
2015/09/23,1,1,軍歌(T103),韋達,呂健威,133,1071,3,-,3 3 1,1.10.18,3.9
2015/10/10,8,1,永得米(P260),黃皓楠,文家良,115,1119,5,-,2 2 1,1.09.39,26
2015/09/23,11,4,跑贏大市(N254),蔡明紹,姚本輝,113,1159,12,1-1/4,11 9 9 4,1.41.06,58
2015/09/23,4,5,捷捷勝(S438),潘頓,容天鵬,126,1059,6,1-1/2,12 11 11 5,1.41.08,53
2015/10/10,9,2,一片光明(T268),鄭雨滇,徐雨石,120,996,3,短馬頭位,6 3 2,1.09.37,13
2015/10/10,6,3,飛廉之子(S419),莫雷拉,蔡約翰,123,1094,6,頸位,2 2 3,1.09.38,1.9
2015/09/28,6,8,睡德福(T117),田泰安,苗禮德,122,1155,11,2-1/4,2 2 2 8,1.22.55,99
2015/09/28,10,9,星爾頓(S194),史卓豐,約翰摩亞,120,1102,2,3-1/4,10 10 8 9,1.22.70,23
2015/11/01,12,12,超現實(S400),霍勵賢,高伯新,116,1146,12,13-3/4,11 11 12 12,1.44.35,99
2015/09/23,12,6,威勢之寶(P425),蔡明紹,胡森,117,1139,1,3-1/4,9 8 9 6,1.41.60,99
2015/09/23,11,7,博愛福星(M021),賴維銘,鄭俊偉,117,1032,4,4-1/4,10 10 11 7,1.41.76,99
2015/10/10,7,10,萬事勇(P254),吳嘉晉,告東尼,121,1114,14,7-1/4,1 2 1 10,1.22.07,33
2015/10/10,6,11,同個世界(N098),梁家俊,約翰摩亞,125,1060,10,7-3/4,12 12 12 11,1.22.13,99
